compteur_id;pdl;client_id;type_energie;type_compteur;marque;date_installation;dernier_releve;statut
CPT-086000;40258614831590;CLI-086000;Électricité;Électromécanique;Itron;2021-02-05;2025-04-07;Actif
CPT-086001;28088671245148;CLI-086001;Électricité;Linky;Itron;2014-10-07;2025-05-03;Résilié
CPT-086002;64851345032082;CLI-086002;Électricité;Linky;Itron;2021-08-01;2025-04-20;Actif
CPT-086003;96448426349322;CLI-086002;Gaz;Gazpar;Landis+Gyr;2021-08-06;2025-04-20;Actif
CPT-086004;46252171684933;CLI-086003;Électricité;Électromécanique;Landis+Gyr;2016-01-06;2025-05-22;Résilié
CPT-086005;16911456833576;CLI-086004;Électricité;Linky;Landis+Gyr;2022-01-19;2025-04-16;Actif
CPT-086006;64519230075716;CLI-086004;Gaz;Traditionnel;Itron;2022-01-25;2025-04-21;Actif
CPT-086007;49661974143564;CLI-086005;Électricité;Linky;Iskraemeco;2015-11-12;2025-04-21;Actif
CPT-086008;64071481961374;CLI-086006;Électricité;Linky;Itron;2020-07-21;2025-04-22;Suspendu
CPT-086009;35152341848610;CLI-086007;Électricité;Linky;Itron;2013-05-20;2025-05-22;Suspendu
CPT-086010;19938447218280;CLI-086007;Gaz;Gazpar;Iskraemeco;2013-05-14;2025-04-24;Suspendu
CPT-086011;66416730552648;CLI-086008;Gaz;Traditionnel;Sagemcom;2017-05-12;2025-05-19;Résilié
CPT-086012;23791652549787;CLI-086009;Électricité;Linky;Sagemcom;2016-05-09;2025-05-02;Résilié
CPT-086013;10212431035218;CLI-086010;Gaz;Traditionnel;Itron;2020-10-04;2025-05-29;Résilié
CPT-086014;86270995435385;CLI-086011;Électricité;Linky;Sagemcom;2021-06-04;2025-04-10;Résilié
CPT-086015;99501110808731;CLI-086011;Gaz;Gazpar;Sagemcom;2021-05-23;2025-04-16;Résilié
CPT-086016;73260260338555;CLI-086012;Électricité;Électromécanique;Itron;2016-06-17;2025-04-07;Suspendu
CPT-086017;99223480003549;CLI-086012;Gaz;Gazpar;Itron;2016-06-19;2025-04-28;Suspendu
CPT-086018;55687187127680;CLI-086013;Gaz;Traditionnel;Sagemcom;2012-10-01;2025-05-16;Actif
CPT-086019;76331126302816;CLI-086014;Gaz;Gazpar;Itron;2016-04-03;2025-05-06;Actif
CPT-086020;23881428449804;CLI-086015;Électricité;Linky;Iskraemeco;2013-03-31;2025-05-17;Actif
CPT-086021;83935011606278;CLI-086016;Électricité;Linky;Itron;2012-11-14;2025-05-10;Résilié
CPT-086022;13569740899183;CLI-086016;Gaz;Traditionnel;Sagemcom;2012-11-18;2025-04-04;Résilié
CPT-086023;13544176447534;CLI-086017;Électricité;Linky;Sagemcom;2013-04-04;2025-05-18;Actif
CPT-086024;97068985802305;CLI-086018;Électricité;Linky;Landis+Gyr;2017-04-15;2025-04-14;Actif
CPT-086025;73994536988857;CLI-086019;Électricité;Linky;Landis+Gyr;2020-10-02;2025-05-23;Actif
CPT-086026;89086558906561;CLI-086019;Gaz;Gazpar;Landis+Gyr;2020-09-24;2025-04-22;Actif
CPT-086027;36101926461585;CLI-086020;Électricité;Électromécanique;Itron;2019-08-06;2025-04-28;Résilié
CPT-086028;37523069776452;CLI-086021;Électricité;Linky;Itron;2018-06-03;2025-04-27;Résilié
CPT-086029;24856946432805;CLI-086022;Électricité;Électromécanique;Iskraemeco;2014-10-14;2025-05-04;Actif
CPT-086030;27205575741798;CLI-086023;Électricité;Linky;Landis+Gyr;2015-01-28;2025-05-25;Actif
CPT-086031;89087998222935;CLI-086023;Gaz;Gazpar;Landis+Gyr;2015-01-14;2025-04-21;Actif
CPT-086032;39783228523080;CLI-086024;Électricité;Linky;Itron;2014-04-15;2025-04-19;Actif
CPT-086033;55955395110381;CLI-086025;Électricité;Linky;Itron;2017-06-25;2025-04-07;Actif
