facture_id;client_id;date_facture;date_echeance;montant_ht_eur;montant_ttc_eur;tva_eur;statut_paiement;delai_paiement_jours;mode_paiement
FAC-000000;CLI-098294;2022-09-06;2022-10-06;253.0;303.6;50.6;En retard;79.0;Prélèvement
FAC-000001;CLI-095999;2024-08-23;2024-09-22;91.87;110.24;18.37;Payée;14.0;CB en ligne
FAC-000002;CLI-098175;2023-05-31;2023-06-30;230.98;277.18;46.2;Payée;17.0;Prélèvement
FAC-000003;CLI-088324;2025-05-30;2025-06-29;416.02;499.22;83.2;Payée;9.0;Prélèvement
FAC-000004;CLI-086422;2024-10-01;2024-10-31;252.15;302.58;50.43;Payée;32.0;Chèque
FAC-000005;CLI-096732;2024-01-17;2024-02-16;1371.54;1645.85;274.31;Payée;29.0;TIP
FAC-000006;CLI-089028;2022-01-03;2022-02-02;109.98;131.98;22.0;Payée;3.0;Prélèvement
FAC-000007;CLI-100844;2022-06-30;2022-07-30;931.76;1118.11;186.35;Payée;28.0;Prélèvement
FAC-000008;CLI-088506;2022-10-14;2022-11-13;584.77;701.72;116.95;Payée;18.0;Prélèvement
FAC-000009;CLI-100653;2024-09-13;2024-10-13;83.78;100.54;16.76;En attente;;Prélèvement
FAC-000010;CLI-096247;2025-01-18;2025-02-17;667.64;801.17;133.53;Payée;8.0;Prélèvement
FAC-000011;CLI-095735;2025-05-12;2025-06-11;206.6;247.92;41.32;Payée;29.0;Virement
FAC-000012;CLI-087490;2023-03-06;2023-04-05;70.47;84.56;14.09;Payée;30.0;Virement
FAC-000013;CLI-086228;2022-02-24;2022-03-26;1225.15;1470.18;245.03;En attente;;Prélèvement
FAC-000014;CLI-098931;2023-06-27;2023-07-27;942.54;1131.05;188.51;Payée;8.0;Virement
FAC-000015;CLI-090030;2022-11-07;2022-12-07;197.18;236.62;39.44;Payée;22.0;Prélèvement
FAC-000016;CLI-092566;2024-07-25;2024-08-24;249.4;299.28;49.88;En retard;35.0;Prélèvement
FAC-000017;CLI-088255;2024-03-16;2024-04-15;87.46;104.95;17.49;Payée;1.0;CB en ligne
FAC-000018;CLI-095744;2022-02-23;2022-03-25;69.49;83.39;13.9;Payée;17.0;Prélèvement
FAC-000019;CLI-097117;2022-11-14;2022-12-14;151.55;181.86;30.31;En attente;;CB en ligne
FAC-000020;CLI-092449;2024-01-12;2024-02-11;180.17;216.2;36.03;Impayée;320.0;Chèque
FAC-000021;CLI-096983;2023-06-07;2023-07-07;259.18;311.02;51.84;Impayée;317.0;Prélèvement
FAC-000022;CLI-088658;2022-07-04;2022-08-03;119.59;143.51;23.92;Payée;24.0;CB en ligne
FAC-000023;CLI-092153;2025-01-10;2025-02-09;198.42;238.1;39.68;Impayée;218.0;Virement
FAC-000024;CLI-088519;2024-06-28;2024-07-28;1051.25;1261.5;210.25;En retard;84.0;Prélèvement
FAC-000025;CLI-100578;2022-05-31;2022-06-30;250.13;300.16;50.03;Payée;29.0;Prélèvement
FAC-000026;CLI-091877;2024-02-15;2024-03-16;39.76;47.71;7.95;Impayée;316.0;Chèque
FAC-000027;CLI-096298;2024-01-07;2024-02-06;99.67;119.6;19.93;Payée;8.0;CB en ligne
FAC-000028;CLI-086418;2023-02-17;2023-03-19;182.28;218.74;36.46;En attente;;Prélèvement
FAC-000029;CLI-098730;2023-12-27;2024-01-26;261.54;313.85;52.31;Payée;15.0;Prélèvement
FAC-000030;CLI-086634;2024-05-20;2024-06-19;123.32;147.98;24.66;En attente;;CB en ligne
FAC-000031;CLI-094616;2023-04-16;2023-05-16;6352.92;7623.5;1270.58;Payée;31.0;Virement
