intervention_id;client_id;type_intervention;date_intervention;duree_heures;statut;technicien_id;commune;cout_intervention_eur;satisfaction_intervention
INT-000000;CLI-093889;Maintenance préventive;2022-10-07;1.55;Terminée;TECH-004;Poitiers;522.8;6.6
INT-000001;CLI-093826;Coupure impayé;2025-04-07;0.53;Annulée;TECH-037;Jaunay-Marigny;197.06;5.9
INT-000002;CLI-091473;Maintenance préventive;2023-10-18;2.17;Terminée;TECH-001;Poitiers;753.02;9.1
INT-000003;CLI-093172;Coupure impayé;2023-03-03;0.6;Terminée;TECH-024;Saint-Benoît;157.63;6.8
INT-000004;CLI-090226;Mise en service;2024-02-03;1.05;Terminée;TECH-015;Poitiers;115.56;8.6
INT-000005;CLI-095309;Dépannage réseau;2025-03-07;3.36;Terminée;TECH-003;Migné-Auxances;364.89;6.4
INT-000006;CLI-099907;Dépannage réseau;2023-05-10;4.11;Terminée;TECH-036;Poitiers;442.55;7.2
INT-000007;CLI-093852;Coupure impayé;2022-10-10;0.39;Terminée;TECH-007;Poitiers;288.16;7.9
INT-000008;CLI-093121;Changement compteur;2025-04-13;1.14;Terminée;TECH-044;Poitiers;168.23;6.7
INT-000009;CLI-088929;Coupure impayé;2024-08-17;2.71;Terminée;TECH-003;Civray;761.98;8.1
INT-000010;CLI-097701;Dépannage réseau;2024-06-16;4.4;Terminée;TECH-028;Poitiers;680.25;5.0
INT-000011;CLI-087995;Relève compteur;2023-11-06;0.42;Terminée;TECH-013;Châtellerault;645.24;9.1
INT-000012;CLI-097780;Mise en service;2025-04-20;0.81;Terminée;TECH-016;Buxerolles;463.22;8.6
INT-000013;CLI-095037;Changement compteur;2024-08-14;1.6;En cours;TECH-033;Poitiers;775.22;7.7
INT-000014;CLI-093451;Changement compteur;2025-05-21;1.06;Terminée;TECH-043;Poitiers;774.91;9.3
INT-000015;CLI-096119;Changement compteur;2022-04-26;0.66;Terminée;TECH-015;Poitiers;266.35;8.0
INT-000016;CLI-097251;Changement compteur;2024-07-28;1.23;Terminée;TECH-029;Chauvigny;412.3;7.3
INT-000017;CLI-088207;Rétablissement;2023-10-23;1.78;Terminée;TECH-027;Poitiers;349.78;6.1
INT-000018;CLI-087514;Modification puissance;2023-09-13;0.44;Terminée;TECH-027;Saint-Benoît;659.11;8.0
